date,chemical,monitor,reading,duplicates
4/1/16 2:00,AGOC-3A,6,0.318626,No
4/1/16 2:00,Methylosmolene,8,0.244736,No
4/1/16 2:00,Methylosmolene,3,0.23958,No
4/1/16 2:00,Appluimonia,5,0.236313,No
4/1/16 2:00,Appluimonia,3,0.208529,No
4/1/16 2:00,AGOC-3A,5,0.206771,No
4/1/16 2:00,AGOC-3A,1,0.20397,Yes
4/1/16 2:00,Appluimonia,8,0.188443,No
4/1/16 2:00,Chlorodinine,9,0.165901,Yes
4/1/16 2:00,Appluimonia,1,0.0983349,No
4/1/16 2:00,Methylosmolene,2,0.0704396,No
4/1/16 2:00,Chlorodinine,5,0.0659318,Yes
4/1/16 2:00,AGOC-3A,9,0.0656916,No
4/1/16 2:00,Methylosmolene,5,0.0511753,Yes
4/1/16 2:00,Appluimonia,9,0.0430606,No
4/1/16 2:00,AGOC-3A,4,0.0389048,No
4/1/16 2:00,Methylosmolene,1,0.0378444,Yes
4/1/16 2:00,Methylosmolene,4,0.0347547,No
4/1/16 2:00,AGOC-3A,7,0.0304364,Yes
4/1/16 3:00,Methylosmolene,8,0.69419,Yes
4/1/16 3:00,Chlorodinine,8,0.65151,Yes
4/1/16 3:00,Appluimonia,2,0.596467,No
4/1/16 3:00,AGOC-3A,6,0.5182,Yes
4/1/16 3:00,Chlorodinine,9,0.51323,No
4/1/16 3:00,Methylosmolene,9,0.486087,Yes
4/1/16 3:00,Appluimonia,8,0.471165,Yes
4/1/16 3:00,Appluimonia,6,0.45342,Yes
4/1/16 3:00,Appluimonia,7,0.446928,No
4/1/16 3:00,Methylosmolene,6,0.437154,No
4/1/16 3:00,AGOC-3A,7,0.405114,No
4/1/16 3:00,Appluimonia,9,0.378197,Yes
4/1/16 3:00,Chlorodinine,3,0.376071,Yes
4/1/16 3:00,Chlorodinine,6,0.364682,No
4/1/16 3:00,AGOC-3A,8,0.363091,Yes
4/1/16 3:00,Chlorodinine,1,0.357711,Yes
4/1/16 3:00,Methylosmolene,1,0.353672,Yes
4/1/16 3:00,Chlorodinine,4,0.321624,Yes
4/1/16 3:00,Appluimonia,5,0.319679,No
4/1/16 3:00,Methylosmolene,5,0.300778,No
4/1/16 3:00,Appluimonia,1,0.288575,Yes
4/1/16 3:00,AGOC-3A,2,0.280231,No
4/1/16 3:00,Appluimonia,4,0.26598,No
4/1/16 3:00,Appluimonia,3,0.26131,No
4/1/16 3:00,Methylosmolene,4,0.246773,No
4/1/16 3:00,AGOC-3A,5,0.242014,No
4/1/16 3:00,AGOC-3A,9,0.198875,No
4/1/16 3:00,AGOC-3A,4,0.15624,No
4/1/16 3:00,Methylosmolene,2,0.124396,Yes
4/1/16 3:00,AGOC-3A,1,0.0895294,No
4/1/16 3:00,Methylosmolene,7,0.0808523,Yes
4/1/16 3:00,Chlorodinine,2,0.0622761,No
4/1/16 3:00,Chlorodinine,5,0.0587969,Yes
4/1/16 3:00,AGOC-3A,3,0.0585907,No
4/1/16 3:00,Methylosmolene,3,0.0347694,Yes
4/1/16 3:00,Chlorodinine,7,0.0144352,No
4/1/16 4:00,Chlorodinine,3,1.1394,No
4/1/16 4:00,Chlorodinine,7,1.03067,No
4/1/16 4:00,AGOC-3A,7,0.856971,No
4/1/16 4:00,Appluimonia,9,0.734143,Yes
4/1/16 4:00,AGOC-3A,2,0.714903,No
4/1/16 4:00,Methylosmolene,3,0.667903,No
4/1/16 4:00,Methylosmolene,2,0.641762,Yes
4/1/16 4:00,Appluimonia,3,0.636766,No
4/1/16 4:00,AGOC-3A,1,0.618398,No
4/1/16 4:00,AGOC-3A,8,0.523747,No
4/1/16 4:00,AGOC-3A,3,0.51271,Yes
4/1/16 4:00,AGOC-3A,6,0.4967,No
4/1/16 4:00,Methylosmolene,5,0.476344,No
4/1/16 4:00,Chlorodinine,6,0.405011,No
4/1/16 4:00,Chlorodinine,4,0.390987,Yes
4/1/16 4:00,AGOC-3A,4,0.375753,No
4/1/16 4:00,AGOC-3A,5,0.371454,Yes
4/1/16 4:00,Appluimonia,1,0.33195,Yes
4/1/16 4:00,Chlorodinine,8,0.320612,No
4/1/16 4:00,Methylosmolene,6,0.313513,Yes
4/1/16 4:00,Methylosmolene,7,0.312161,No
4/1/16 4:00,Chlorodinine,2,0.299912,No
4/1/16 4:00,Methylosmolene,1,0.284877,Yes
4/1/16 4:00,Methylosmolene,4,0.281923,Yes
4/1/16 4:00,AGOC-3A,9,0.25342,No
4/1/16 4:00,Appluimonia,5,0.246868,No
4/1/16 4:00,Appluimonia,7,0.168924,Yes
4/1/16 4:00,Appluimonia,2,0.146269,No
4/1/16 4:00,Appluimonia,8,0.129247,No
4/1/16 4:00,Chlorodinine,9,0.127112,Yes
4/1/16 4:00,Appluimonia,4,0.119788,Yes
4/1/16 4:00,Chlorodinine,1,0.117581,No
4/1/16 4:00,Methylosmolene,8,0.0899369,Yes
4/1/16 4:00,Methylosmolene,9,0.0559182,No
4/1/16 4:00,Chlorodinine,5,0.033643,No
4/1/16 4:00,Appluimonia,6,0.0296883,No
4/1/16 5:00,Chlorodinine,3,2.79331,Yes
4/1/16 5:00,AGOC-3A,8,1.03184,No
4/1/16 5:00,Methylosmolene,1,0.989826,No
4/1/16 5:00,Methylosmolene,3,0.916534,No
4/1/16 5:00,AGOC-3A,3,0.69974,No
4/1/16 5:00,Appluimonia,3,0.664029,No
4/1/16 5:00,Chlorodinine,8,0.649797,No
4/1/16 5:00,Chlorodinine,7,0.512425,No
4/1/16 5:00,Chlorodinine,4,0.446033,No
4/1/16 5:00,Appluimonia,8,0.421384,No
4/1/16 5:00,Chlorodinine,9,0.378493,No
4/1/16 5:00,Methylosmolene,9,0.367007,No
4/1/16 5:00,Methylosmolene,6,0.36684,No
4/1/16 5:00,AGOC-3A,1,0.294556,No
4/1/16 5:00,Appluimonia,2,0.285482,No
4/1/16 5:00,Methylosmolene,4,0.28066,No
4/1/16 5:00,Appluimonia,4,0.271384,Yes
4/1/16 5:00,Methylosmolene,5,0.259023,Yes
4/1/16 5:00,Appluimonia,7,0.256853,No
4/1/16 5:00,Appluimonia,9,0.253563,Yes
4/1/16 5:00,AGOC-3A,2,0.252217,No
4/1/16 5:00,AGOC-3A,5,0.238353,No
4/1/16 5:00,AGOC-3A,6,0.209591,No
4/1/16 5:00,Methylosmolene,7,0.195448,Yes
4/1/16 5:00,Chlorodinine,5,0.168359,Yes
4/1/16 5:00,Chlorodinine,6,0.148461,No
4/1/16 5:00,Appluimonia,5,0.147356,No
4/1/16 5:00,Chlorodinine,2,0.138576,No
4/1/16 5:00,AGOC-3A,7,0.116403,No
4/1/16 5:00,Chlorodinine,1,0.108269,Yes
4/1/16 5:00,Appluimonia,6,0.0518588,No
4/1/16 5:00,Appluimonia,1,0.0388837,No
4/1/16 5:00,AGOC-3A,9,0.0318543,No
4/1/16 5:00,Methylosmolene,2,0.0203157,No
4/1/16 5:00,Methylosmolene,8,0.00622426,No
4/1/16 5:00,AGOC-3A,4,0.00241546,Yes
4/1/16 6:00,Chlorodinine,3,3.94462,No
4/1/16 6:00,AGOC-3A,7,3.81396,Yes
4/1/16 6:00,Methylosmolene,3,2.05302,No
4/1/16 6:00,Appluimonia,7,0.969027,No
4/1/16 6:00,Methylosmolene,7,0.940167,Yes
4/1/16 6:00,AGOC-3A,3,0.822506,No
4/1/16 6:00,Appluimonia,6,0.78524,No
4/1/16 6:00,Chlorodinine,6,0.734936,Yes
4/1/16 6:00,Chlorodinine,8,0.681112,No
4/1/16 6:00,Appluimonia,2,0.678525,No
4/1/16 6:00,Methylosmolene,8,0.673679,No
4/1/16 6:00,Chlorodinine,9,0.590046,No
4/1/16 6:00,Appluimonia,3,0.552638,No
4/1/16 6:00,AGOC-3A,6,0.537672,No
4/1/16 6:00,Chlorodinine,2,0.524311,No
4/1/16 6:00,Methylosmolene,2,0.378806,No
4/1/16 6:00,AGOC-3A,9,0.361752,No
4/1/16 6:00,AGOC-3A,8,0.348775,No
4/1/16 6:00,Methylosmolene,4,0.329487,Yes
4/1/16 6:00,Chlorodinine,1,0.32179,Yes
4/1/16 6:00,Methylosmolene,1,0.250966,Yes
4/1/16 6:00,Chlorodinine,4,0.249135,No
4/1/16 6:00,AGOC-3A,4,0.2396,Yes
4/1/16 6:00,Appluimonia,8,0.225316,Yes
4/1/16 6:00,AGOC-3A,1,0.210431,Yes
4/1/16 6:00,AGOC-3A,2,0.171442,No
4/1/16 6:00,Methylosmolene,5,0.167723,Yes
4/1/16 6:00,Methylosmolene,9,0.148385,No
4/1/16 6:00,Methylosmolene,6,0.126295,No
4/1/16 6:00,Appluimonia,5,0.105537,No
4/1/16 6:00,Appluimonia,4,0.104948,Yes
4/1/16 6:00,Appluimonia,9,0.0848154,No
4/1/16 6:00,AGOC-3A,5,0.0686394,Yes
4/1/16 6:00,Chlorodinine,7,0.0627053,Yes
4/1/16 6:00,Chlorodinine,5,0.0278427,Yes
4/1/16 6:00,Appluimonia,1,0.0228912,Yes
4/1/16 7:00,AGOC-3A,3,4.78659,Yes
4/1/16 7:00,Chlorodinine,3,3.35156,No
4/1/16 7:00,AGOC-3A,8,1.02109,No
4/1/16 7:00,Chlorodinine,8,0.946475,No
4/1/16 7:00,Appluimonia,6,0.874363,No
4/1/16 7:00,Appluimonia,2,0.638567,No
4/1/16 7:00,Methylosmolene,6,0.602402,No
4/1/16 7:00,Chlorodinine,6,0.544958,No
4/1/16 7:00,Chlorodinine,2,0.542413,Yes
4/1/16 7:00,Methylosmolene,4,0.502477,No
4/1/16 7:00,Appluimonia,3,0.452319,No
4/1/16 7:00,AGOC-3A,7,0.426199,Yes
4/1/16 7:00,Appluimonia,8,0.421081,No
4/1/16 7:00,Appluimonia,7,0.386387,Yes
4/1/16 7:00,Methylosmolene,5,0.386002,No
4/1/16 7:00,Methylosmolene,3,0.375589,No
4/1/16 7:00,Chlorodinine,5,0.343747,Yes
4/1/16 7:00,Chlorodinine,7,0.333749,Yes
4/1/16 7:00,AGOC-3A,1,0.271824,No
4/1/16 7:00,Appluimonia,9,0.268262,No
4/1/16 7:00,Methylosmolene,9,0.268067,No
4/1/16 7:00,Methylosmolene,2,0.221445,No
4/1/16 7:00,Chlorodinine,9,0.213374,Yes
4/1/16 7:00,Chlorodinine,1,0.188189,Yes
4/1/16 7:00,AGOC-3A,4,0.170572,Yes
4/1/16 7:00,AGOC-3A,5,0.155064,Yes
4/1/16 7:00,AGOC-3A,2,0.0958847,No
4/1/16 7:00,Methylosmolene,7,0.0929588,No
4/1/16 7:00,Appluimonia,5,0.089142,No
4/1/16 7:00,Methylosmolene,1,0.072075,No
4/1/16 7:00,Methylosmolene,8,0.0330591,No
4/1/16 7:00,AGOC-3A,9,0.0320344,No
4/1/16 7:00,Appluimonia,4,0.025392,Yes
4/1/16 7:00,AGOC-3A,6,0.0231199,Yes
4/1/16 7:00,Chlorodinine,4,0.0142187,Yes
4/1/16 7:00,Appluimonia,1,0.0100301,Yes
4/1/16 8:00,Chlorodinine,3,3.83947,Yes
4/1/16 8:00,Appluimonia,3,2.10568,No
4/1/16 8:00,AGOC-3A,3,1.61156,Yes
4/1/16 8:00,Appluimonia,8,1.23009,No
4/1/16 8:00,Methylosmolene,3,0.917269,No
4/1/16 8:00,Appluimonia,6,0.69624,No
4/1/16 8:00,Chlorodinine,6,0.690937,No
4/1/16 8:00,Methylosmolene,2,0.553491,No
4/1/16 8:00,AGOC-3A,6,0.545655,Yes
4/1/16 8:00,Appluimonia,7,0.521752,No
4/1/16 8:00,Chlorodinine,8,0.521053,Yes
4/1/16 8:00,Appluimonia,2,0.476664,No
4/1/16 8:00,AGOC-3A,7,0.451286,No
4/1/16 8:00,Appluimonia,9,0.419446,No
4/1/16 8:00,Chlorodinine,1,0.380071,No
4/1/16 8:00,Appluimonia,1,0.366206,No
4/1/16 8:00,Chlorodinine,2,0.349802,No
4/1/16 8:00,Appluimonia,4,0.340732,No
4/1/16 8:00,Chlorodinine,9,0.331285,No
4/1/16 8:00,Chlorodinine,5,0.306871,No
4/1/16 8:00,Methylosmolene,1,0.292984,No
4/1/16 8:00,AGOC-3A,2,0.285264,No
4/1/16 8:00,Methylosmolene,9,0.263384,Yes
4/1/16 8:00,Appluimonia,5,0.246648,No
4/1/16 8:00,Chlorodinine,7,0.202865,No
4/1/16 8:00,Methylosmolene,5,0.177531,No
4/1/16 8:00,Methylosmolene,6,0.169993,No
4/1/16 8:00,Methylosmolene,4,0.165458,Yes
4/1/16 8:00,AGOC-3A,4,0.1416,No
4/1/16 8:00,Methylosmolene,7,0.129355,Yes
4/1/16 8:00,Chlorodinine,4,0.112167,Yes
4/1/16 8:00,AGOC-3A,9,0.0810158,No
4/1/16 8:00,AGOC-3A,5,0.071417,No
4/1/16 8:00,AGOC-3A,1,0.0343286,No
4/1/16 8:00,Methylosmolene,8,0.024255,No
4/1/16 8:00,AGOC-3A,8,0.0133735,Yes
4/1/16 9:00,Methylosmolene,3,1.90111,No
4/1/16 9:00,Appluimonia,3,1.78909,No
4/1/16 9:00,Appluimonia,7,0.915939,Yes
4/1/16 9:00,Chlorodinine,2,0.71666,No
4/1/16 9:00,Methylosmolene,7,0.714198,Yes
4/1/16 9:00,Chlorodinine,7,0.659626,No
4/1/16 9:00,Chlorodinine,3,0.655028,No
4/1/16 9:00,AGOC-3A,7,0.639886,No
4/1/16 9:00,Methylosmolene,6,0.601663,No
4/1/16 9:00,Appluimonia,2,0.586124,Yes
4/1/16 9:00,AGOC-3A,3,0.544795,Yes
4/1/16 9:00,Methylosmolene,4,0.522087,Yes
4/1/16 9:00,Methylosmolene,2,0.474724,No
4/1/16 9:00,Appluimonia,8,0.451534,No
4/1/16 9:00,AGOC-3A,6,0.407047,No
4/1/16 9:00,Appluimonia,9,0.37218,No
4/1/16 9:00,AGOC-3A,8,0.307569,No
4/1/16 9:00,Methylosmolene,8,0.304597,No
4/1/16 9:00,Appluimonia,1,0.300466,No
4/1/16 9:00,Chlorodinine,4,0.288103,Yes
4/1/16 9:00,Appluimonia,6,0.274487,No
4/1/16 9:00,AGOC-3A,1,0.270683,Yes
4/1/16 9:00,AGOC-3A,9,0.230418,No
4/1/16 9:00,Appluimonia,5,0.217195,Yes
4/1/16 9:00,Chlorodinine,1,0.204093,No
4/1/16 9:00,AGOC-3A,2,0.201245,No
4/1/16 9:00,AGOC-3A,4,0.201125,No
4/1/16 9:00,Chlorodinine,6,0.199124,No
4/1/16 9:00,Methylosmolene,9,0.126885,No
4/1/16 9:00,Chlorodinine,9,0.10603,Yes
4/1/16 9:00,Methylosmolene,1,0.0988394,No
4/1/16 9:00,Chlorodinine,8,0.0948834,No
4/1/16 9:00,Chlorodinine,5,0.0700218,No
4/1/16 9:00,AGOC-3A,5,0.0455874,No
4/1/16 9:00,Methylosmolene,5,0.0419438,No
4/1/16 9:00,Appluimonia,4,0.041054,No
4/1/16 10:00,Methylosmolene,6,0.786521,No
4/1/16 10:00,AGOC-3A,3,0.772321,Yes
4/1/16 10:00,Methylosmolene,8,0.756304,No
4/1/16 10:00,Chlorodinine,8,0.726825,Yes
4/1/16 10:00,Methylosmolene,3,0.670043,No
4/1/16 10:00,Appluimonia,7,0.657709,Yes
4/1/16 10:00,Chlorodinine,3,0.572236,No
4/1/16 10:00,AGOC-3A,6,0.565408,No
4/1/16 10:00,Chlorodinine,7,0.483525,Yes
4/1/16 10:00,Methylosmolene,1,0.457522,Yes
4/1/16 10:00,AGOC-3A,5,0.44956,No
4/1/16 10:00,Chlorodinine,6,0.417886,Yes
4/1/16 10:00,Appluimonia,4,0.384311,No
4/1/16 10:00,Chlorodinine,1,0.374429,No
4/1/16 10:00,Methylosmolene,9,0.337672,No
4/1/16 10:00,Appluimonia,3,0.332215,No
4/1/16 10:00,Appluimonia,5,0.326147,No
4/1/16 10:00,Appluimonia,9,0.304952,No
4/1/16 10:00,Appluimonia,2,0.289997,No
4/1/16 10:00,Chlorodinine,2,0.274667,Yes
4/1/16 10:00,AGOC-3A,9,0.271139,No
4/1/16 10:00,Appluimonia,1,0.268343,No
4/1/16 10:00,AGOC-3A,8,0.24401,No
4/1/16 10:00,Methylosmolene,7,0.218184,Yes
4/1/16 10:00,AGOC-3A,2,0.200995,No
4/1/16 10:00,Chlorodinine,5,0.192601,Yes
4/1/16 10:00,Appluimonia,8,0.183642,No
4/1/16 10:00,Methylosmolene,5,0.163966,No
4/1/16 10:00,AGOC-3A,4,0.162566,No
4/1/16 10:00,Appluimonia,6,0.156522,No
4/1/16 10:00,AGOC-3A,7,0.152753,No
4/1/16 10:00,Methylosmolene,4,0.141456,No
4/1/16 10:00,Chlorodinine,4,0.128094,No
4/1/16 10:00,Chlorodinine,9,0.057487,Yes
4/1/16 10:00,AGOC-3A,1,0.0251836,No
4/1/16 10:00,Methylosmolene,2,0.00298162,No
4/1/16 11:00,Methylosmolene,3,4.39846,Yes
4/1/16 11:00,Appluimonia,3,1.02831,Yes
4/1/16 11:00,AGOC-3A,3,0.967785,No
4/1/16 11:00,Methylosmolene,8,0.87337,No
4/1/16 11:00,Methylosmolene,7,0.854138,No
4/1/16 11:00,Appluimonia,8,0.78212,No
4/1/16 11:00,Methylosmolene,9,0.773302,Yes
4/1/16 11:00,Chlorodinine,3,0.70332,No
4/1/16 11:00,Chlorodinine,6,0.559303,No
4/1/16 11:00,AGOC-3A,9,0.502717,No
4/1/16 11:00,Appluimonia,7,0.453267,Yes
4/1/16 11:00,AGOC-3A,6,0.430635,No
4/1/16 11:00,Appluimonia,5,0.42455,Yes
4/1/16 11:00,Appluimonia,6,0.404981,No
4/1/16 11:00,Chlorodinine,1,0.392052,No
4/1/16 11:00,Methylosmolene,6,0.29769,No
4/1/16 11:00,Methylosmolene,4,0.259342,No
4/1/16 11:00,Methylosmolene,2,0.242137,No
4/1/16 11:00,Chlorodinine,9,0.241334,Yes
4/1/16 11:00,Chlorodinine,4,0.234759,No
4/1/16 11:00,Chlorodinine,2,0.229816,Yes
4/1/16 11:00,Methylosmolene,1,0.228423,No
4/1/16 11:00,Chlorodinine,7,0.227113,No
4/1/16 11:00,AGOC-3A,5,0.18658,No
4/1/16 11:00,AGOC-3A,4,0.171654,Yes
4/1/16 11:00,Chlorodinine,8,0.16321,No
4/1/16 11:00,Appluimonia,2,0.150965,No
4/1/16 11:00,Methylosmolene,5,0.143529,No
4/1/16 11:00,Appluimonia,1,0.132435,No
4/1/16 11:00,Appluimonia,9,0.120384,No
4/1/16 11:00,AGOC-3A,2,0.11802,No
4/1/16 11:00,AGOC-3A,1,0.0669641,No
4/1/16 11:00,AGOC-3A,8,0.0666572,Yes
4/1/16 11:00,Appluimonia,4,0.036502,Yes
4/1/16 11:00,Chlorodinine,5,0.025848,Yes
4/1/16 11:00,AGOC-3A,7,0.0143858,No
4/1/16 12:00,Methylosmolene,3,2.97161,No
4/1/16 12:00,Methylosmolene,7,1.9822,No
4/1/16 12:00,Chlorodinine,3,0.833999,No
4/1/16 12:00,AGOC-3A,2,0.81394,No
4/1/16 12:00,Chlorodinine,7,0.672943,No
4/1/16 12:00,Appluimonia,8,0.555826,No
4/1/16 12:00,Chlorodinine,4,0.496377,No
4/1/16 12:00,AGOC-3A,1,0.469625,No
4/1/16 12:00,AGOC-3A,7,0.435586,No
4/1/16 12:00,Appluimonia,7,0.417883,No
4/1/16 12:00,Appluimonia,3,0.399123,No
4/1/16 12:00,AGOC-3A,5,0.396962,No
4/1/16 12:00,Appluimonia,6,0.387515,No
4/1/16 12:00,Methylosmolene,1,0.357148,No
4/1/16 12:00,Chlorodinine,5,0.346274,No
4/1/16 12:00,Chlorodinine,8,0.275282,No
4/1/16 12:00,Methylosmolene,4,0.268327,Yes
4/1/16 12:00,Chlorodinine,6,0.264588,No
4/1/16 12:00,Appluimonia,9,0.236189,No
4/1/16 12:00,Chlorodinine,1,0.233285,No
4/1/16 12:00,Appluimonia,4,0.229907,No
4/1/16 12:00,Methylosmolene,6,0.213574,Yes
4/1/16 12:00,Methylosmolene,5,0.208672,Yes
4/1/16 12:00,Chlorodinine,2,0.203687,No
4/1/16 12:00,Chlorodinine,9,0.192999,Yes
4/1/16 12:00,AGOC-3A,8,0.189639,No
4/1/16 12:00,AGOC-3A,3,0.165788,No
4/1/16 12:00,Appluimonia,2,0.127155,No
4/1/16 12:00,Methylosmolene,2,0.10236,Yes
4/1/16 12:00,AGOC-3A,4,0.0969047,No
4/1/16 12:00,AGOC-3A,9,0.0870258,No
4/1/16 12:00,Methylosmolene,8,0.0784863,Yes
4/1/16 12:00,Appluimonia,5,0.0766411,No
4/1/16 12:00,Methylosmolene,9,0.0730682,Yes
4/1/16 12:00,AGOC-3A,6,0.0475963,No
4/1/16 12:00,Appluimonia,1,0.032094,Yes
4/1/16 13:00,AGOC-3A,7,2.9472,No
4/1/16 13:00,Chlorodinine,3,1.90125,No
4/1/16 13:00,Methylosmolene,7,1.60229,No
4/1/16 13:00,Methylosmolene,3,1.52117,No
4/1/16 13:00,Chlorodinine,8,0.885737,No
4/1/16 13:00,Appluimonia,7,0.829324,No
4/1/16 13:00,Chlorodinine,7,0.819536,No
4/1/16 13:00,Methylosmolene,8,0.742678,Yes
4/1/16 13:00,Appluimonia,6,0.615335,Yes
4/1/16 13:00,Appluimonia,8,0.589898,No
4/1/16 13:00,AGOC-3A,6,0.484358,No
4/1/16 13:00,Appluimonia,3,0.453212,Yes
4/1/16 13:00,Chlorodinine,2,0.433455,No
4/1/16 13:00,Methylosmolene,4,0.42977,No
4/1/16 13:00,AGOC-3A,4,0.416789,Yes
4/1/16 13:00,Methylosmolene,6,0.384708,No
4/1/16 13:00,Chlorodinine,6,0.356287,No
4/1/16 13:00,Appluimonia,2,0.331087,Yes
4/1/16 13:00,AGOC-3A,1,0.271808,No
4/1/16 13:00,Chlorodinine,4,0.271384,Yes
4/1/16 13:00,Appluimonia,1,0.24354,No
4/1/16 13:00,Chlorodinine,1,0.235847,No
4/1/16 13:00,Methylosmolene,1,0.223932,Yes
4/1/16 13:00,AGOC-3A,2,0.219576,No
4/1/16 13:00,Methylosmolene,9,0.206465,Yes
4/1/16 13:00,AGOC-3A,8,0.170308,No
4/1/16 13:00,AGOC-3A,9,0.13544,Yes
4/1/16 13:00,AGOC-3A,3,0.129685,No
4/1/16 13:00,Appluimonia,5,0.107169,Yes
4/1/16 13:00,Appluimonia,4,0.102078,No
4/1/16 13:00,Chlorodinine,5,0.0744315,Yes
4/1/16 13:00,Appluimonia,9,0.0456287,No
4/1/16 13:00,AGOC-3A,5,0.0225215,Yes
4/1/16 13:00,Methylosmolene,2,0.0167204,No
4/1/16 13:00,Chlorodinine,9,0.0159372,Yes
4/1/16 13:00,Methylosmolene,5,0.00629568,Yes
4/1/16 14:00,Chlorodinine,7,2.18663,No
4/1/16 14:00,AGOC-3A,3,2.06584,No
